name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ahmedabad,2024-09-01,33,27,29.4,39.2,30.1,34.1,24.3,75.1,0,0,0,rain,0,0,18.7,16.6,256.9,1005.2,39.8,3.5,240.8,21,9,30,2024-09-01T06:21:56,2024-09-01T18:56:53,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-02,29.1,25,27.3,35.6,25,30.7,25.1,88.1,44.4,100,20.83,rain,0,0,31.3,18,256.1,1004.1,89.6,3.4,187.7,16.4,8,30,2024-09-02T06:22:15,2024-09-02T18:55:56,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42647099999,42654099999,VAAH,42744099999,remote"
ahmedabad,2024-09-03,28,23,25.7,31.9,23,26.8,24,90.2,33.2,100,12.5,rain,0,0,33.5,14.8,275.9,1004.1,92.5,2.4,46.5,3.9,3,10,2024-09-03T06:22:34,2024-09-03T18:54:58,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-04,31,25,26.8,36.5,25,28.4,24.2,86.1,2,100,4.17,rain,0,0,26.3,45.9,227.2,1004.3,73.6,3.6,254.1,22.1,9,30,2024-09-04T06:22:53,2024-09-04T18:54:00,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-05,29.8,26,27.1,34.7,26,29.5,24.1,83.6,0.3,100,4.17,rain,0,0,28.8,16.6,222.4,1002.7,77.1,3.3,214.5,18.7,8,10,2024-09-05T06:23:11,2024-09-05T18:53:01,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-06,31,25,27.5,37.5,25,30.3,24.6,85,25.3,100,16.67,rain,0,0,35.3,18.4,235,1003.8,78.4,3.4,205,17.8,7,10,2024-09-06T06:23:30,2024-09-06T18:52:02,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-07,31.8,26,28.6,37.3,26,31.6,23.6,75.6,0,0,0,rain,0,0,21.2,18.4,241.6,1005,67.3,3.8,203.3,17.6,9,10,2024-09-07T06:23:48,2024-09-07T18:51:03,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-08,30.3,26,28.2,37.6,26,32.4,24.4,79.8,0,0,0,rain,0,0,24.1,18.4,250.6,1005.3,56.7,3.8,244,20.9,8,10,2024-09-08T06:24:06,2024-09-08T18:50:03,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-09,32,26,29.3,39,26,34.1,24.4,75.9,0,0,0,,0,0,29.2,14.8,245.7,1002.9,54.4,3.8,204.6,17.8,7,10,2024-09-09T06:24:24,2024-09-09T18:49:03,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-10,30.3,26,28.2,37.2,26,32.5,24.6,80.9,26,100,4.17,rain,0,0,33.8,18.4,260.2,1002,64.2,3.6,262.2,22.6,9,10,2024-09-10T06:24:43,2024-09-10T18:48:03,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42647099999,42654099999,VAAH,42744099999"
