"Min,Max,Modal Price from Gujarat,Ahmedabad[Bottle gourd] from 01-Sep-2024To30-Sep-2024 (Total-19) (Total-19)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,2000,1800,21-Sep-24
2,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,2500,2000,25-Sep-24
3,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3000,1850,17-Sep-24
4,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3000,1950,26-Sep-24
5,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3000,2000,28-Sep-24
6,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3000,2200,19-Sep-24
7,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3000,2350,27-Sep-24
8,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3500,2250,12-Sep-24
9,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,3500,2350,23-Sep-24
10,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,4000,2350,18-Sep-24
11,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,4000,2500,20-Sep-24
12,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,4000,2800,30-Sep-24
13,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,5000,2450,03-Sep-24
14,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,5000,2650,05-Sep-24
15,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,5000,2750,04-Sep-24
16,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,5000,2850,06-Sep-24
17,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1000,5000,3650,02-Sep-24
18,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,1500,4000,2750,13-Sep-24
19,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,2000,4500,3250,11-Sep-24
