States\UTs,Cultivators,Agricultural Labour,Male Cultivators,Male Agricultural Labour ,Female Cultivators,Female Agricultural Labour 
Jammu & Kashmir,1245316,547705,765527,414344,479789,133361
Himachal Pradesh,2062062,175038,906154,103060,1155908,71978
Punjab,1934511,1588455,1753359,1239445,181152,349010
Chandigarh,2578,1687,2114,1375,464,312
Uttarakhand,1580423,403301,735412,286540,845011,116761
Haryana,2480801,1528133,1789122,1041241,691679,486892
Delhi,33398,39475,27458,31352,5940,8123
Rajasthan,13618870,4939664,7518486,2132669,6100384,2806995
Uttar Pradesh,19057888,19939223,15511533,13803442,3546355,6135781
Bihar,7196226,18345649,5745420,12570717,1450806,5774932
Sikkim,117401,25986,63327,12883,54074,13103
Arunachal Pradesh,302723,36171,152863,18377,149860,17794
Nagaland,537702,62962,259454,31857,278248,31105
Manipur,574031,114918,327109,46032,246922,68886
Mizoram,229603,41787,129482,22488,100121,19299
Tripura,295947,353618,228868,214106,67079,139512
Meghalaya,494675,198364,277330,106342,217345,92022
Assam,4061627,1845346,3099763,1129210,961864,716136
West Bengal,5116688,10188842,4500041,7452814,616647,2736028
Jharkhand,3814832,4436052,2291182,2341700,1523650,2094352
Odisha,4103989,6739993,3375350,3481836,728639,3258157
Chhattisgarh,4004796,5091882,2424025,2344549,1580771,2747333
Madhya Pradesh,9844439,12192267,6591064,6310657,3253375,5881610
Gujarat,5447500,6839415,4244449,3649591,1203051,3189824
Daman & Diu,2316,772,1492,362,824,410
Dadra & Nagar Haveli,28164,17799,18296,5453,9868,12346
Maharashtra,12569373,13486140,7592313,6774538,4977060,6711602
Andhra Pradesh,6491522,16967754,4357304,8130022,2134218,8837732
Karnataka,6580649,7155963,4753708,3283279,1826941,3872684
Goa,31354,26760,18848,14816,12506,11944
Lakshadweep,0,0,0,0,0,0
Kerala,670253,1322850,546906,857995,123347,464855
Tamil Nadu,4248457,9606547,2732479,4842707,1515978,4763840
Puducherry,12099,68391,10033,42794,2066,25597
Andaman & Nicobar Islands,16567,4781,12663,3744,3904,1037
